28,Flavia,Blay,Flavia.Blay@gmail.com  ,(508) 217-8448,8900 N. Essex St,Anton,TX,No Comment,1
29,Tomoko,Gruber,Tomoko.Gruber@gmail.com  ,(277) 613-0285,67 Country Dr,Appleby,TX,No Comment,1
30,Maryanna,Tyer,Maryanna.Tyer@gmail.com  ,(572) 676-0400,381 N. Addison St,Aquilla,TX,No Comment,1
31,Lona,Muir,Lona.Muir@gmail.com  ,(781) 902-2575,49 New Lane,Aransas,TX,No Comment,1
32,Magdalen,Manges,Magdalen.Manges@gmail.com  ,(303) 514-2251,308 W. Edgewater Dr,Archer City,TX,No Comment,1
33,Ignacia,Hieber,Ignacia.Hieber@outlook.com  ,(242) 739-2009,5 Nicolls Dr,Arcola,TX,No Comment,1
34,Marty,Townes,Marty.Townes@outlook.com  ,(542) 786-3607,9712 Pawnee Lane,Argyle,TX,No Comment,1
35,Lyndon,Giffen,Lyndon.Giffen@outlook.com  ,(263) 388-6261,658 Fulton Ave,Arlington,TX,No Comment,1
36,Evelin,Trujillo,Evelin.Trujillo@outlook.com  ,(816) 891-5184,9438 2nd St,Arp,TX,No Comment,1
37,Yuri,Shasteen,Yuri.Shasteen@outlook.com  ,(406) 427-9084,40 Applegate St,Asherton,TX,No Comment,1
38,Carmel,Troyer,Carmel.Troyer@outlook.com  ,(457) 675-3209,131 Shirley St,Athens,TX,No Comment,1
39,Velma,Matthies,Velma.Matthies@outlook.com  ,(657) 822-9986,8748 Peachtree Dr,Atlanta,TX,No Comment,1
40,Lorna,Riker,Lorna.Riker@outlook.com  ,(873) 745-8698,5 Logan Ave,Aubrey,TX,No Comment,1
41,Jesenia,Sylvia,Jesenia.Sylvia@outlook.com  ,(452) 565-2100,596 Windsor St,Aurora,TX,No Comment,1
42,Marceline,Strayer,Marceline.Strayer@outlook.com  ,(511) 484-9118,1 Philmont Dr,Austin,TX,No Comment,1
43,Garth,Gilbert,Garth.Gilbert@outlook.com  ,(269) 965-6236,555 Tallwood St,Austwell,TX,No Comment,1
44,India,Marse,India.Marse@outlook.com  ,(406) 620-8984,7275 Schoolhouse st,Avery,TX,No Comment,1
45,Mayme,Dahle,Mayme.Dahle@outlook.com  ,(515) 748-9554,472 Williams st,Azel,TX,No Comment,1
46,Karena,Mangano,Karena.Mangano@outlook.com  ,(548) 589-5419,266 Wintergreen ave,Bailey,TX,No Comment,1
47,Rheba,Mcqueary,Rheba.Mcqueary@outlook.com  ,(429) 796-4991,8750 Sussex st,Baird,TX,No Comment,1
48,Echo,Kimbell,Echo.Kimbell@outlook.com  ,(385) 317-5465,477 Cemetery ave,Balch Springs,TX,No Comment,1
49,Richard,Maillet,Richard.Maillet@outlook.com  ,(889) 756-5131,8412 W. Oak dr,Balcones Heights,TX,No Comment,1
50,Flor,Gattis,Flor.Gattis@outlook.com  ,(773) 453-9843,65 Glenridge st,Ballinger,TX,No Comment,1
51,Cyndi,Whitmer,Cyndi.Whitemer@outlook.com,(463) 904-9541,7176 Carpenter ave,Balmorhea,TX,No Comment,1
52,Janett,Willey,Janett.Willey@outlook.com,(200) 977-9228,277 High Point st,Bandera,TX,No Comment,1
53,Meridith,Lyford,Meridith.Lyford@yahoo.com  ,(416) 824-8766,42 Border dr,Bangs,TX,No Comment,1
54,Malorie,Drost,Malorie.Drost@yahoo.com  ,(928) 999-1681,9250 Prairie dr,Bardwell,TX,No Comment,1
55,Belinda,Raber,Belinda.Raber@yahoo.com  ,(436) 214-7641,46 Harrison st,Barry,TX,No Comment,1
56,Rubie,Worthley,Rubie.Worthley@yahoo.com  ,(388) 548-8993,15 Mayfield st,Bellaire,TX,No Comment,1
57,Julissa,Mulero,Julissa.Mulero@yahoo.com  ,(743) 672-0562,8 Cleveland lan,Bellevue,TX,No Comment,1
58,Geoffrey,Mauk,Geoffrey.Mauk@yahoo.com  ,(398) 973-1290,806 Rock Creek st,Bellmead,TX,No Comment,1
59,Bailey,Hall,Bailey.Hall@yahoo.com  ,(541) 355-0783,992 S. Indian Summer,Bellville,TX,No Comment,1
60,Margert,Mahood,Margert.Mahood@yahoo.com  ,(791) 676-2053,7058 Kingston st,Belton,TX,No Comment,1
61,Linnie,Kizer,Linnie.Kizer@yahoo.com  ,(623) 893-0090,9347 Pin Oak dr,Benavides,TX,No Comment,1
62,Keneth,Drewes,Keneth.Drewes@yahoo.com  ,(625) 363-8483,938 Fifth rd,Benbrook,TX,No Comment,1
63,Damian,Vanmeter,Damian.Vanmeter@yahoo.com  ,(855) 580-2806,9299 Fieldstone ave,Benjamin,TX,No Comment,1
64,Jaclyn,Paden,Jaclyn.Paden@yahoo.com  ,(721) 434-6317,79 Old Tower ave,Bertram,TX,No Comment,1
65,Terrell,Craft,Terrell.Craft@yahoo.com  ,(282) 451-4984,9810 Bay Meadows ave,Beverly Hills,TX,No Comment,1
66,Kira,Oropeza,Kira.Oropeza@yahoo.com  ,(268) 395-5934,9421 Vernon st,Bevil Oaks,TX,No Comment,1
67,Cathy,Sowards,Cathy.Sowards@yahoo.com  ,(430) 304-3519,9643 E. Vine rd,Big Lake,TX,No Comment,1
68,Darlena,Meas,Darlena.Meas@yahoo.com  ,(854) 576-3606,7973 N. El Dorado,Big Spring,TX,No Comment,1
69,Albertha,Vogus,Albertha.Vogus@yahoo.com  ,(886) 476-7224,980 Canterbury st,Big Wells,TX,No Comment,1
70,Estrella,Mees,Estrella.Mees@yahoo.com  ,(614) 708-1396,9266 Rockville ave,Bishop,TX,No Comment,1
71,Latonia,Line,Latonia.Line@yahoo.com  ,(251) 751-9095,4 Poplar st,Blackwell,TX,No Comment,1
72,Cathern,Blackmer,Cathern.Blackmer@yahoo.com  ,(726) 601-3299,82 W. Hill Field,Blanco,TX,No Comment,1
73,Jonelle,Willman,Jonelle.Willman@yahoo.com  ,(925) 586-2806,680 River ave,Blessing,TX,No Comment,1
74,Mandy,Duke,Mandy.Duke@yahoo.com  ,(500) 202-3230,44 Laurel ave,Blossom,TX,No Comment,1
75,Yung,Capron,Yung.Capron@yahoo.com  ,(565) 938-2204,4 W. Cobblestone rd,Blue Mound,TX,No Comment,1
76,Mistie,Dorado,Mistie.Dorado@yahoo.com  ,(523) 526-7241,8571 Mayfair st,Blue Ridge,TX,No Comment,1
77,Jed,Powe,Jed.Powe@yahoo.com  ,(766) 421-1498,8109 Lafayette ave,Boerne,TX,No Comment,1
78,Gidget,Griffis,Gidget.Griffis@yahoo.com  ,(931) 638-8812,350 College rd,Bogata,TX,No Comment,1
79,Yvonne,Mcarthur,Yvonne.Mcarthur@live.com  ,(761) 796-2737,688 W. Kingston ave,Bonham,TX,No Comment,1
80,Mel,Godwin,Mel.Godwin@live.com  ,(894) 465-1154,594 Glendale dr,Borger,TX,No Comment,1
81,Cheryl,Webber,Cheryl.Webber@live.com  ,(443) 213-8770,490 Walk Whitman,Bovina,TX,No Comment,1
82,Frank,Sawyer,Frank.Sawyer@live.com  ,(620) 669-2992,9535 W. Ivy st,Bowie,TX,No Comment,1
83,Clarissa,Sugg,Clarissa.Sugg@live.com  ,(513) 439-8673,31 Shub Farm ave,Brackettville,TX,No Comment,1
84,Daniell,Bluford,Daniell.Bluford@live.com  ,(393) 525-9620,162 Manchester ave,Brady,TX,No Comment,1
85,Louann,Helget,Louann.Helget@live.com  ,(689) 772-8073,7723 Fairfield ave,Brazoria,TX,No Comment,1
86,Nathalie,Toms,Nathalie.Toms@live.com  ,(968) 687-3830,7722 N. Sunset ave,Brazos Country,TX,No Comment,1
87,Oretha,Duval,Oretha.Duval@live.com  ,(905) 590-3845,2 W. Bridge st,Bremond,TX,No Comment,1
88,Melony,Silberman,Melony.Silberman@live.com  ,(556) 692-7841,122 High Ridge rd,Brookshire,TX,No Comment,1
89,Ghislaine,Zaldivar,Ghislaine.Zaldivar@live.com  ,(250) 549-5157,80 S. Ivy st.,Houston,TX,No Comment,1
90,Haywood,Alward,Haywood.Alward@live.com  ,(762) 974-6699,102 Bay Meadows,Buda,TX,No Comment,1
91,Tillie,Mengel,Tillie.Mengel@live.com  ,(785) 890-8483,31 William st,Buffalo,TX,No Comment,1
92,Catharine,Thomason,Catharine.Thomason@live.com  ,(333) 251-2442,596 Penn st,Burke,TX,No Comment,1
93,Catrina,Coward,Catrina.Coward@live.com  ,(651) 876-4460,254 Princess st,Byers,TX,No Comment,1
94,Roman,Molitor,Roman.Molitor@live.com  ,(666) 859-2154,441 Old York st,Cactus,TX,No Comment,1
95,Mamie,Tennyson,Mamie.Tennyson@live.com  ,(210) 973-4467,9464 Baker dr,Cisco,TX,No Comment,1
96,Dulce,Vallee,Dulce.Vallee@live.com  ,(444) 220-6692,91 W. Boston rd,Celina,TX,No Comment,1
97,Tyrell,Downing,Tyrell.Downing@live.com  ,(580) 289-2019,418 E. Winchester ct,Chandler,TX,No Comment,1
98,Lang,Arthurs,Lang.Arthurs@live.com  ,(794) 395-6456,7615 Atlantic dr,Cleaveland,TX,No Comment,1
99,Rosie,Wallis,Rosie.Wallis@live.com  ,(921) 899-7329,915 San Carlos st,Coleman,TX,No Comment,1
100,Kiesha,Buendia,Kiesha.Buendia@live.com  ,(211) 835-9522,701 Rocky River st,Dayton,TX,No Comment,1
